review_id,review_priority,problem_type,imported_athlete_2019,discipline,suggested_existing_athlete_id,suggested_existing_athlete,suggested_existing_country,suggestion_confidence,collision_or_change_countries,decision,action,country,notes,imported_2019_results_by_country,existing_athlete_2018_results_by_country,future_country_evidence
athlete_identity_collision_8a3e882eb02faea7,high,possible_athlete_identity_collision,Anne Klein,WAG,3599,Anne Klein,NED,1.0,"GER, NED",merge as same athlete,canonical country,NED,,GER: 2019 - 1st Bundesliga (3 results) | NED: 2019 - Dutch Championships (5 results),NED: 2018 - Dutch Championships (9 results); 2018 - Dutch Team Championships (5 results); 2018 - Klaverblad Championships (5 results); 2018 - Leverkusen Cup (3 results),not found 2020-2025
athlete_identity_collision_645f6b1c7289c914,high,possible_athlete_identity_collision,Antonios Tantalidis,MAG,247,Antonios Tantalidis,GRE,1.0,"GRE, ITA",merge as same athlete,canonical country,GRE,,GRE: 2019 - 2nd Italian Serie A (4 results); 2019 - 3rd Italian Serie A (4 results); 2019 - Baku World Cup (2 results); 2019 - European Championships (7 results); 2019 - Paris Challenge Cup (3 results) | ITA: 2019 - 1st Italian Serie A (4 results),GRE: 2018 - Baku World Cup (2 results); 2018 - European Championships (4 results); 2018 - Greek Championships (10 results); 2018 - Mediterranean Games (15 results); 2018 - World Championships (7 results),2020: GRE:11 / 2021: GRE:33 / 2022: GRE:34 / 2023: GRE:10 / 2024: GRE:18 / 2025: GRE:23
athlete_country_ffea8c4be223377f,high,possible_athlete_country_change,Astrid Breckmann,WAG,3659,Astrid Breckmann,DEN,,"DEN, FAR",merge as same athlete,canonical country,DEN,,FAR: 2019 - Danish Junior Championships (5 results); 2019 - Nordic Junior Championships (5 results); 2019 - Northern European Championships (10 results),DEN: 2018 - Danish Championships (12 results); 2018 - Nordic Championships (5 results),2020: DEN:8 / 2021: DEN:5 / 2022: DEN:5 / 2023: DEN:3
athlete_identity_collision_0651e160379f4f73,high,possible_athlete_identity_collision,Atte Okkolin,MAG,308,Atte Okkolin,FIN,1.0,"FIN, SWE",merge as same athlete,canonical country,FIN,,FIN: 2019 - Finnish Championships (9 results); 2019 - Mälar Cup (7 results) | SWE: 2019 - Mälar Cup (1 result),FIN: 2018 - Finnish Championships (5 results),2020: FIN:31
athlete_identity_collision_a036ee8ea5f07b9e,high,possible_athlete_identity_collision,Brodie Davis,MAG,412,Brodie Davis,GBR,1.0,"GBR, IRL",merge as same athlete,canonical country,IRL,,GBR: 2019 - British Championships (9 results); 2019 - English Championships (7 results) | IRL: 2019 - Irish Championships (7 results),GBR: 2018 - English Championships (7 results),not found 2020-2025
athlete_identity_collision_5006e81473c174e7,high,possible_athlete_identity_collision,Chloe Trisic,WAG,3973,Chloe Trisic,AUS,1.0,"AUS, FRA",merge as same athlete,canonical country,AUS,,AUS: 2019 - Australian Championships (10 results); 2019 - Australian Classic (10 results); 2019 - International Gymnix (6 results) | FRA: 2019 - Junior World Championships (5 results),AUS: 2018 - Australian Classic (10 results),not found 2020-2025
athlete_identity_collision_a86c16c53ae1cd99,high,possible_athlete_identity_collision,Colin van Wicklen,MAG,525,Colin van Wicklen,USA,1.0,"GBR, USA",merge as same athlete,canonical country,USA,,GBR: 2019 - Baku World Cup (3 results) | USA: 2019 - 1st Bundesliga (3 results); 2019 - 2nd Bundesliga (2 results); 2019 - Baku World Cup (5 results); 2019 - Houston National Invitational (7 results); 2019 - Winter Cup Challenge (13 results),USA: 2018 - Houston National Invite (7 results); 2018 - U.S. Championships (14 results); 2018 - U.S. Men's National Qualifier (7 results); 2018 - U.S. Men's World Team Selection (14 results); 2018 - Winter Cup Challenge (7 results); 2018 - World Championships (8 results),2020: USA:20 / 2022: USA:9 / 2023: USA:7
athlete_identity_collision_877f484d6fe012e6,high,possible_athlete_identity_collision,Crystal Watts,WAG,4035,Crystal Watts,THA,1.0,"GBR, THA",merge as same athlete,canonical country,THA,,GBR: 2019 - British Team Championships (3 results) | THA: 2019 - Southeast Asian Games (2 results),THA: 2018 - Asian Junior Championships (7 results),not found 2020-2025
athlete_identity_collision_6f1a5dbe55c8df29,high,possible_athlete_identity_collision,Davide Odomaro,MAG,669,Davide Odomaro,ITA,1.0,"FRA, ITA",merge as same athlete,canonical country,ITA,,FRA: 2019 - Top 12 Series 5 (1 result) | ITA: 2019 - 1st Italian Serie A (4 results); 2019 - 2nd Italian Serie A (4 results); 2019 - 3rd Italian Serie A (4 results),ITA: 2018 - 1st Italian Serie A (3 results); 2018 - 2nd Italian Serie A (4 results); 2018 - 3rd Italian Serie A (4 results); 2018 - Top 12 Semi-Final 1 (3 results); 2018 - Top 12 Series 1 (1 result); 2018 - Top 12 Series 2 (1 result); 2018 - Top 12 Series 4 (1 result); 2018 - Top 12 Series 5 (3 results),not found 2020-2025
athlete_match_60ee5007d3f80c83,high,possible_existing_athlete_match,Dino Boshnjak,MAG,725,Dino Bosnjak,MKD,0.96,"MKD, SLO",merge as same athlete,canonical country,MKD,,SLO: 2019 - Salamunov Memorial (2 results),MKD: 2018 - Salamunov Memorial (1 result),Dino Boshnjak: not found 2020-2025 | Dino Bosnjak: not found 2020-2025
athlete_country_500321b5bf580ec1,high,possible_athlete_country_change,Dmitrii Govorov,MAG,737,Dmitrii Govorov,GEO,,"GEO, RUS",merge as same athlete,canonical country,GEO,,RUS: 2019 - Russian Championships (14 results); 2019 - Russian Cup (14 results),GEO: 2018 - Baku World Cup (8 results); 2018 - Doha World Cup (8 results); 2018 - European Championships (6 results); 2018 - World Championships (6 results),not found 2020-2025
athlete_match_12dc68f972464e05,high,possible_existing_athlete_match,Dmitriy Shishkov,MAG,750,Dmitriy Shishko,UKR,0.968,"RUS, UKR",merge as same athlete,canonical country,UKR,,RUS: 2019 - Russian Junior Championships (15 results),UKR: 2018 - President's Cup (13 results),Dmitriy Shishkov: 2020: RUS:15 | Dmitriy Shishko: not found 2020-2025
athlete_identity_collision_d0f602b49baa880f,high,possible_athlete_identity_collision,Dominic Bigsby,MAG,757,Dominic Bigsby,GBR,1.0,"GBR, NZL",merge as same athlete,country history,NZL,,GBR: 2019 - English Championships (3 results) | NZL: 2019 - Baku World Cup (4 results); 2019 - Doha World Cup (5 results); 2019 - New Zealand Championships (10 results),GBR: 2018 - British Championships (4 results); 2018 - English Championships (7 results),2021: NZL:5
athlete_identity_collision_eff394d3e96d55fb,high,possible_athlete_identity_collision,Edvins Rodevics,MAG,806,Edvins Rodevics,LAT,1.0,"ESP, LAT",merge as same athlete,canonical country,LAT,,ESP: 2019 - European Youth Olympic Festival (9 results) | LAT: 2019 - International Junior Team Cup (8 results); 2019 - Junior World Championships (10 results),LAT: 2018 - Latvian Championships (9 results); 2018 - Voronin Cup (8 results),2020: LAT:9
athlete_identity_collision_b04244ba77a9791e,high,possible_athlete_identity_collision,Elisabeth Geurts,WAG,4235,Elisabeth Geurts,NED,1.0,"GER, NED",merge as same athlete,canonical country,NED,,GER: 2019 - 2nd Bundesliga (5 results) | NED: 2019 - 3rd Bundesliga (5 results); 2019 - Dutch Championships (9 results); 2019 - Dutch Team Championships (5 results); 2019 - Elite Gym Massilia (1 result); 2019 - FIT Challenge (5 results); 2019 - IAG SportEvent (1 result); 2019 - Summer Universiade (15 results),NED: 2018 - 1st Bundesliga (5 results); 2018 - 2nd Bundesliga (5 results); 2018 - 3rd Bundesliga (5 results); 2018 - 4th Bundesliga (5 results); 2018 - Dutch Championships (8 results); 2018 - Heerenveen Friendly (6 results); 2018 - Klaverblad Championships (5 results); 2018 - Sokol Grand Prix (2 results); 2018 - Varsenare Friendly (5 results),2020: NED:5 / 2021: NED:31 / 2023: NED:23 / 2024: NED:18 / 2025: NED:36
athlete_match_4ff0776d373674d4,high,possible_existing_athlete_match,Ella Robins,WAG,4269,Ella Robinson,GBR,0.917,"GBR, USA",keep separate,,,,USA: 2019 - Parkettes National Qualifier (5 results),GBR: 2018 - English Championships (5 results),Ella Robins: not found 2020-2025 | Ella Robinson: 2021: GBR:5 / 2022: GBR:10 / 2023: GBR:10
athlete_identity_collision_be42ad7d42d064f3,high,possible_athlete_identity_collision,Ellie Russell,WAG,4289,Ellie Russell,GBR,1.0,"GBR, SCO",merge as same athlete,canonical country,GBR,,GBR: 2019 - British Championships (10 results); 2019 - British Team Championships (3 results); 2019 - Northern European Championships (1 result); 2019 - Scottish Championships (9 results) | SCO: 2019 - Northern European Championships (5 results),GBR: 2018 - British Championships (7 results); 2018 - Commonwealth Games (4 results); 2018 - Scottish Championships (13 results),2022: GBR:14
athlete_identity_collision_071e37e269440ca1,high,possible_athlete_identity_collision,Emily Agersborg,WAG,4327,Emily Agersborg,DEN,1.0,"DEN, ISL",merge as same athlete,canonical country,DEN,,DEN: 2019 - Danish Junior Championships (1 result) | ISL: 2019 - Björk International (8 results),DEN: 2018 - Danish Championships (7 results),2024: DEN:6 / 2025: DEN:14
athlete_identity_collision_f41c5e0927d7cc19,high,possible_athlete_identity_collision,Emily Moorehead,WAG,4337,Emily Moorehead,IRL,1.0,"GBR, IRL",merge as same athlete,canonical country,IRL,,GBR: 2019 - British Team Championships (5 results) | IRL: 2019 - Irish Championships (5 results); 2019 - Irish Team Championships (1 result); 2019 - Reykjavik International Games (5 results),IRL: 2018 - Irish Championships (5 results),not found 2020-2025
athlete_match_6147e846debeb771,high,possible_existing_athlete_match,Emily Moorhead,WAG,4337,Emily Moorehead,IRL,0.966,"GBR, IRL",merge as same athlete,canonical country,IRL,,GBR: 2019 - Rushmoor Rose Bowl (5 results),IRL: 2018 - Irish Championships (5 results),Emily Moorhead: 2022: IRL:11 / 2024: IRL:8 / 2025: IRL:2 | Emily Moorehead: not found 2020-2025
athlete_identity_collision_32935879a44a22e1,high,possible_athlete_identity_collision,Eugen Spiridonov,MAG,878,Eugen Spiridonov,GER,1.0,"GER, RUS",merge as same athlete,canonical country,GER,,GER: 2019 - 4th Bundesliga (2 results); 2019 - 5th Bundesliga (2 results); 2019 - 6th Bundesliga (2 results); 2019 - 7th Bundesliga (1 result); 2019 - Bundesliga Final (3 results) | RUS: 2019 - 1st Bundesliga (4 results); 2019 - 2nd Bundesliga (2 results); 2019 - 3rd Bundesliga (4 results),GER: 2018 - 1st Bundesliga (2 results); 2018 - 2nd Bundesliga (3 results); 2018 - 3rd Bundesliga (3 results); 2018 - 4th Bundesliga (3 results); 2018 - 5th Bundesliga (3 results); 2018 - 6th Bundesliga (5 results); 2018 - 7th Bundesliga (5 results),2020: GER:1 / 2021: GER:2
athlete_identity_collision_16238ece7328618d,high,possible_athlete_identity_collision,Fabio Chicas,MAG,907,Fabio Chicas,ESA,1.0,"ECU, ESA",merge as same athlete,canonical country,ESA,,ECU: 2019 - World Championships (7 results) | ESA: 2019 - Pan American Games (7 results),ESA: 2018 - Central American & Caribbean Games (14 results); 2018 - Pan American Championships (7 results),not found 2020-2025
athlete_identity_collision_36c64c9ef3140c45,high,possible_athlete_identity_collision,Florian Landuyt,MAG,968,Florian Landuyt,BEL,1.0,"BEL, FRA",merge as same athlete,canonical country,BEL,,BEL: 2019 - Cardiff Men's Friendly (3 results); 2019 - Heerenveen Men's Friendly (5 results); 2019 - Top 12 Series 2 (1 result) | FRA: 2019 - Top 12 Series 4 (3 results),BEL: 2018 - Dutch Championships (3 results),2020: FRA:1 / 2021: BEL:6
athlete_identity_collision_7dc3e8ce46e4263e,high,possible_athlete_identity_collision,Gregor Belousov,MAG,1061,Gregor Belousov,GBR,1.0,"CZE, GBR",merge as same athlete,canonical country,CZE,,CZE: 2019 - International Junior Team Cup (7 results) | GBR: 2019 - British Championships (8 results),GBR: 2018 - English Championships (7 results),not found 2020-2025
athlete_identity_collision_35e31acc7e5763c9,high,possible_athlete_identity_collision,Guusje Majoor,WAG,4652,Guusje Majoor,NED,1.0,"GER, NED",merge as same athlete,canonical country,NED,,GER: 2019 - 1st Bundesliga (5 results) | NED: 2019 - 2nd Bundesliga (5 results); 2019 - Dutch Championships (10 results); 2019 - IAG SportEvent (5 results); 2019 - Leverkusen Cup (5 results); 2019 - Unni & Haralds Trophy (12 results),NED: 2018 - Bundesliga Regional Finals (5 results); 2018 - Dutch Championships (8 results); 2018 - Dutch Team Championships (2 results); 2018 - Gymnova Cup (6 results); 2018 - Klaverblad Championships (5 results); 2018 - Leverkusen Cup (5 results),not found 2020-2025
athlete_country_2d9c4be8f28f8bd9,high,possible_athlete_country_change,Hallel Metidji,MAG,1095,Hallel Metidji,FRA,,"ALG, FRA",merge as same athlete,country history,ALG,,ALG: 2019 - Top 12 Semi-Final II (3 results); 2019 - Top 12 Series 2 (2 results); 2019 - Top 12 Series 4 (3 results); 2019 - Top 12 Series 6 (3 results),FRA: 2018 - Top 12 Final (2 results); 2018 - Top 12 Semi-Final 2 (3 results); 2018 - Top 12 Series 6 (3 results),2020: ALG:6
athlete_country_0750feb2a644855e,high,possible_athlete_country_change,Hennie Martinsdottir,WAG,4715,Hennie Martinsdottir,ISL,,"ISL, SWE",merge as same athlete,canonical country,SWE,,SWE: 2019 - Mälar Cup (5 results); 2019 - Swedish Championships (10 results),ISL: 2018 - Icelandic Championships (7 results),"2020: SWE:5 / 2022: SWE:20 / 2024: ISL:2, SWE:10 / 2025: SWE:20"
athlete_country_6281aadd17277364,high,possible_athlete_country_change,Ilka Juk,WAG,4760,Ilka Juk,CAN,,"CAN, HUN",merge as same athlete,canonical country,HUN,,HUN: 2019 - 2nd Heerenveen Friendly (5 results); 2019 - Elite Canada (5 results); 2019 - Elite Gym Massilia (5 results); 2019 - Hungarian Championships (6 results); 2019 - International Gymnix (8 results),CAN: 2018 - Elite Gym Massilia (8 results); 2018 - International Gymnix (5 results); 2018 - Top Gym Tournament (9 results),2020: HUN:5 / 2021: HUN:9
athlete_identity_collision_19018183c869d002,high,possible_athlete_identity_collision,Illia Kovtun,MAG,1212,Illia Kovtun,UKR,1.0,"GER, UKR",merge as same athlete,canonical country,UKR,,GER: 2019 - 4th Bundesliga (3 results); 2019 - 5th Bundesliga (3 results) | UKR: 2019 - European Games Test Event (15 results); 2019 - European Youth Olympic Festival (17 results); 2019 - Junior World Championships (9 results); 2019 - Stella Zakharova Cup (15 results),UKR: 2018 - European Championships (4 results),2020: UKR:16 / 2021: UKR:156 / 2022: UKR:121 / 2023: UKR:138 / 2024: UKR:150 / 2025: UKR:48
athlete_identity_collision_b8cb3fe3a713f944,high,possible_athlete_identity_collision,Isabel Sikon,WAG,4820,Isabel Sikon,USA,1.0,"POL, USA",merge as same athlete,country history,POL,,POL: 2019 - European Youth Olympic Festival (12 results); 2019 - Olympic Hopes Cup (5 results); 2019 - Polish Championships (13 results) | USA: 2019 - KPAC National Qualifier (5 results); 2019 - World Champion's National Qualifier (5 results),USA: 2018 - Orlando Qualifier (5 results),2020: POL:10
athlete_country_e2314df506b63417,high,possible_athlete_country_change,Jacob Faulkner,MAG,1278,Jacob Faulkner,GBR,,"GBR, POR",merge as same athlete,canonical country,GBR,,POR: 2019 - International GymSport (4 results),GBR: 2018 - International GymSport (5 results),2023: USA:1
athlete_match_3cd860d87621c1de,high,possible_existing_athlete_match,Jay Thompson,MAG,1296,Jake Thompson,AUS,0.88,"AUS, GBR",keep separate,,,,GBR: 2019 - British Championships (10 results); 2019 - Cardiff Men's Friendly (4 results); 2019 - English Championships (7 results); 2019 - Welsh Championships (7 results),AUS: 2018 - Australian Championships (11 results),Jay Thompson: not found 2020-2025 | Jake Thompson: not found 2020-2025
athlete_match_0529889fb7aff313,high,possible_existing_athlete_match,Jaydon Attygale,MAG,1356,Jaydon Attygalle,GBR,0.968,"GBR, IRL",merge as same athlete,canonical country,IRL,,IRL: 2019 - Irish Championships (7 results); 2019 - Irish Super Championships (8 results),GBR: 2018 - British Championships (9 results); 2018 - English Championships (7 results),"Jaydon Attygale: not found 2020-2025 | Jaydon Attygalle: 2021: GBR:2 / 2022: IRL:14 / 2023: GBR:14, IRL:1 / 2024: SRI:11 / 2025: GBR:2, SRI:4"
athlete_country_46f8a007fff186a1,high,possible_athlete_country_change,Joan Prat Bellasoia,MAG,1400,Joan Prat Bellasoia,POR,,"AND, POR",merge as same athlete,canonical country,AND,,AND: 2019 - International GymSport (4 results),POR: 2018 - International GymSport (7 results),not found 2020-2025
athlete_match_85cd9be6f6e1e5c8,high,possible_existing_athlete_match,Joan Prat Bellsola,MAG,1400,Joan Prat Bellasoia,POR,0.919,"AND, POR",merge as same athlete,canonical country,AND,,AND: 2019 - European Youth Olympic Festival (5 results),POR: 2018 - International GymSport (7 results),Joan Prat Bellsola: not found 2020-2025 | Joan Prat Bellasoia: not found 2020-2025
athlete_identity_collision_e2c31f92c3488228,high,possible_athlete_identity_collision,Kaia Tanskanen,WAG,5039,Kaia Tanskanen,USA,1.0,"FIN, USA",merge as same athlete,country history,FIN,,FIN: 2019 - Finnish Championships (10 results) | USA: 2019 - Auburn National Qualifier (5 results); 2019 - KPAC National Qualifier (5 results),USA: 2018 - Auburn National Qualifier (5 results); 2018 - Brestyan's National Qualifier (5 results),2021: FIN:18 / 2022: FIN:42 / 2023: FIN:31 / 2024: FIN:14 / 2025: FIN:31
athlete_identity_collision_24fd86598af09aeb,high,possible_athlete_identity_collision,Kasey Rising,MAG,1540,Kasey Rising,GBR,1.0,"GBR, IRL",merge as same athlete,canonical country,IRL,,GBR: 2019 - British Championships (4 results); 2019 - English Championships (7 results) | IRL: 2019 - Irish Championships (7 results); 2019 - Irish Super Championships (4 results),GBR: 2018 - British Championships (7 results); 2018 - English Championships (7 results),2021: GBR:7 / 2022: IRL:14 / 2023: GBR:7
athlete_country_46c88a566d724bc7,high,possible_athlete_country_change,Katie Dovey,WAG,5113,Katie Dovey,GBR,,"FRA, GBR",merge as same athlete,canonical country,GBR,,FRA: 2019 - Sarreguemines Cup (5 results),GBR: 2018 - British Team Championships (2 results),not found 2020-2025
athlete_country_393e62d848404102,high,possible_athlete_country_change,Laney Madsen,WAG,5243,Laney Madsen,USA,,"BUL, USA",merge as same athlete,country history,BUL,,BUL: 2019 - European Championships (5 results); 2019 - European Games (5 results); 2019 - World Championships (5 results),USA: 2018 - Desert Lights Qualifier (5 results),not found 2020-2025
athlete_identity_collision_6f48f5bf9858d851,high,possible_athlete_identity_collision,Lili Sørensen,WAG,5380,Lili Sørensen,DEN,1.0,"DEN, ISL",merge as same athlete,canonical country,DEN,,DEN: 2019 - Danish Junior Championships (6 results) | ISL: 2019 - Björk International (7 results),DEN: 2018 - Danish Championships (11 results),2020: DEN:3 / 2021: DEN:2
athlete_identity_collision_f5ec5b3b3d4c3af0,high,possible_athlete_identity_collision,Lim Kaeson,MAG,1523,Lim Kaeson,SGP,1.0,"KOR, SGP",merge as same athlete,canonical country,SGP,,KOR: 2019 - Melbourne World Cup (1 result) | SGP: 2019 - Asian Championships (7 results); 2019 - Singapore Championships (7 results); 2019 - Singapore Open (4 results); 2019 - Zhaoqing Challenge Cup (3 results),SGP: 2018 - Melbourne World Cup (3 results); 2018 - Singapore Open (3 results),2022: SGP:7 / 2024: SGP:4 / 2025: SGP:5
athlete_identity_collision_eb52cea7eb4787b8,high,possible_athlete_identity_collision,Marco Walter,MAG,1877,Marco Walter,SUI,1.0,"GER, SUI",merge as same athlete,canonical country,SUI,,GER: 2019 - 2nd Bundesliga (5 results) | SUI: 2019 - Summer Universiade (13 results),SUI: 2018 - Sokol Grand Prix (5 results),2023: SUI:5 / 2025: SUI:7
athlete_country_ee317ad1ecad87b2,high,possible_athlete_country_change,Margret Bjarnadottir,WAG,5679,Margret Bjarnadottir,GBR,,"GBR, ISL",merge as same athlete,canonical country,GBR,,ISL: 2019 - Scottish Championships (5 results),GBR: 2018 - Scottish Championships (6 results),not found 2020-2025
athlete_identity_collision_efd7ab0478981e89,high,possible_athlete_identity_collision,Maria Kharenkova,WAG,5704,Maria Kharenkova,RUS,1.0,"GEO, RUS",merge as same athlete,canonical country,RUS,,GEO: 2019 - 4th Bundesliga (5 results); 2019 - Russian Cup (10 results); 2019 - Voronin Cup (11 results); 2019 - World Championships (5 results) | RUS: 2019 - Russian Championships (2 results),RUS: 2018 - DTB Pokal Team Challenge (2 results); 2018 - Russian Championships (3 results); 2018 - Russian Cup (4 results); 2018 - Voronin Cup (4 results),"2020: GEO:13, RUS:11 / 2021: GEO:10, RUS:4"
athlete_identity_collision_8c4b39921160aa25,high,possible_athlete_identity_collision,Marit Reijnders,WAG,5784,Marit Reijnders,NED,1.0,"GER, NED",merge as same athlete,canonical country,NED,,GER: 2019 - 1st Bundesliga (5 results) | NED: 2019 - 2nd Bundesliga (5 results); 2019 - 3rd Bundesliga (5 results); 2019 - Dutch Championships (10 results); 2019 - Dutch Team Championships (5 results); 2019 - European Youth Olympic Festival (9 results); 2019 - Gymnova Cup (10 results); 2019 - IAG SportEvent (5 results); 2019 - Leverkusen Cup (5 results); 2019 - Top Gym Tournament (9 results); 2019 - Unni & Haralds Trophy (1 result),NED: 2018 - 2nd Bundesliga (5 results); 2018 - Dutch Championships (9 results); 2018 - Dutch Team Championships (3 results); 2018 - Gymnova Cup (6 results); 2018 - Klaverblad Championships (5 results); 2018 - Leverkusen Cup (5 results),2021: NED:9 / 2022: NED:4 / 2023: NED:6 / 2024: NED:3
athlete_match_f3fb59b51486809b,high,possible_existing_athlete_match,Martina Gonzalez,WAG,5771,Marina Gonzalez,ESP,0.968,"CHI, ESP",merge as same athlete,canonical country,ESP,,CHI: 2019 - South American Junior Championships (5 results),ESP: 2018 - 1st Spanish League (5 results); 2018 - 2nd Spanish League (5 results),Martina Gonzalez: not found 2020-2025 | Marina Gonzalez: 2020: ESP:5 / 2021: ESP:11 / 2022: ESP:1
