calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3,option_4,option_5
130,British Men's Championships,Sep 11-12,2021-09-11,2021-09-12,,,,1: ID 551 | British Championships | MAG and WAG | 1267 result | confidence 0.802,2: ID 623 | Brazilian Championships | MAG and WAG | 519 result | confidence 0.582,3: ID 522 | Finnish Championships | MAG and WAG | 992 result | confidence 0.575,4: ID 609 | Italian Championships | MAG and WAG | 428 result | confidence 0.575,5: ID 555 | Turkish Championships | MAG and WAG | 403 result | confidence 0.575
132,Swiss Worlds Trials,Sep 14,2021-09-14,2021-09-14,,,,1: ID 667 | 1st Swiss Worlds Trials | WAG | 30 result | confidence 0.931,2: ID 576 | U.S. Worlds Trials | MAG and WAG | 75 result | confidence 0.702,3: ID 649 | Finnish Worlds Trials | WAG | 61 result | confidence 0.695,4: ID 705 | British Worlds Trials | WAG | 24 result | confidence 0.695,5: ID 712 | Croatian Worlds Trials | WAG | 10 result | confidence 0.651
133,U.S. Men's Worlds Trials,Sep 16-18,2021-09-16,2021-09-18,,,,1: ID 576 | U.S. Worlds Trials | MAG and WAG | 75 result | confidence 0.820,2: ID 605 | German Worlds Trials | MAG | 74 result | confidence 0.613,3: ID 667 | 1st Swiss Worlds Trials | WAG | 30 result | confidence 0.587,4: ID 649 | Finnish Worlds Trials | WAG | 61 result | confidence 0.573,5: ID 705 | British Worlds Trials | WAG | 24 result | confidence 0.573
137,Swedish Men's Championships,Sep 17-19,2021-09-17,2021-09-19,,,,1: ID 526 | Swedish Championships | MAG and WAG | 719 result | confidence 0.802,2: ID 588 | Swiss Championships | MAG and WAG | 180 result | confidence 0.624,3: ID 611 | Danish Championships | MAG and WAG | 271 result | confidence 0.585,4: ID 561 | Spanish Championships | MAG and WAG | 615 result | confidence 0.575,5: ID 603 | Danish Team Championships | MAG and WAG | 129 result | confidence 0.570
144,1st Bundesliga League 2 (MAG),Sep 25,2021-09-25,2021-09-25,,,,1: ID 536 | 1st Bundesliga | MAG and WAG | 1245 result | confidence 0.653,2: ID 647 | 1st Spanish League | WAG | 649 result | confidence 0.484,3: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.452,4: ID 533 | 5th Bundesliga | MAG | 401 result | confidence 0.430,5: ID 531 | 4th Bundesliga | MAG | 398 result | confidence 0.430
155,2nd Bundesliga League 2 (MAG),Oct 2,2021-10-02,2021-10-02,,,,1: ID 535 | 2nd Bundesliga | MAG and WAG | 1243 result | confidence 0.653,2: ID 669 | 2nd Spanish League | WAG | 582 result | confidence 0.484,3: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.452,4: ID 534 | 3rd Bundesliga | MAG and WAG | 944 result | confidence 0.430,5: ID 624 | Bundesliga Final Relegation Match | MAG | 48 result | confidence 0.406
156,Danish Men's Team Championships Qualifier,Oct 2,2021-10-02,2021-10-02,,,,1: ID 602 | Danish Team Championships Qualifier | MAG and WAG | 117 result | confidence 0.879,2: ID 603 | Danish Team Championships | MAG and WAG | 129 result | confidence 0.702,3: ID 611 | Danish Championships | MAG and WAG | 271 result | confidence 0.566,4: ID 559 | Turkish Team Championships | MAG and WAG | 397 result | confidence 0.544,5: ID 674 | Danish Junior Championships | WAG | 155 result | confidence 0.537
161,1st Bundesliga League 3,Oct 3-10,2021-10-03,2021-10-10,,,,1: ID 536 | 1st Bundesliga | MAG and WAG | 1245 result | confidence 0.747,2: ID 647 | 1st Spanish League | WAG | 649 result | confidence 0.552,3: ID 533 | 5th Bundesliga | MAG | 401 result | confidence 0.492,4: ID 531 | 4th Bundesliga | MAG | 398 result | confidence 0.492,5: ID 537 | 6th Bundesliga | MAG | 394 result | confidence 0.492
162,German Men's Worlds Trials,Oct 7,2021-10-07,2021-10-07,,,,1: ID 605 | German Worlds Trials | MAG | 74 result | confidence 0.828,2: ID 710 | German Euros Trials | WAG | 26 result | confidence 0.631,3: ID 649 | Finnish Worlds Trials | WAG | 61 result | confidence 0.610,4: ID 712 | Croatian Worlds Trials | WAG | 10 result | confidence 0.600,5: ID 576 | U.S. Worlds Trials | MAG and WAG | 75 result | confidence 0.583
166,3rd Bundesliga League 2 (MAG),Oct 9-10,2021-10-09,2021-10-10,,,,1: ID 534 | 3rd Bundesliga | MAG and WAG | 944 result | confidence 0.653,2: ID 648 | 3rd Spanish League | WAG | 583 result | confidence 0.484,3: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.452,4: ID 535 | 2nd Bundesliga | MAG and WAG | 1243 result | confidence 0.430,5: ID 624 | Bundesliga Final Relegation Match | MAG | 48 result | confidence 0.406
167,4th Bundesliga League 2 (MAG),Oct 16,2021-10-16,2021-10-16,,,,1: ID 531 | 4th Bundesliga | MAG | 398 result | confidence 0.653,2: ID 533 | 5th Bundesliga | MAG | 401 result | confidence 0.461,3: ID 537 | 6th Bundesliga | MAG | 394 result | confidence 0.461,4: ID 538 | 7th Bundesliga | MAG | 394 result | confidence 0.461,5: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.452
169,5th Bundesliga League 2 (MAG),Oct 23,2021-10-23,2021-10-23,,,,1: ID 533 | 5th Bundesliga | MAG | 401 result | confidence 0.653,2: ID 531 | 4th Bundesliga | MAG | 398 result | confidence 0.461,3: ID 537 | 6th Bundesliga | MAG | 394 result | confidence 0.461,4: ID 538 | 7th Bundesliga | MAG | 394 result | confidence 0.461,5: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.452
180,6th Bundesliga League 2 (MAG),Nov 6,2021-11-06,2021-11-06,,,,1: ID 537 | 6th Bundesliga | MAG | 394 result | confidence 0.653,2: ID 533 | 5th Bundesliga | MAG | 401 result | confidence 0.461,3: ID 531 | 4th Bundesliga | MAG | 398 result | confidence 0.461,4: ID 538 | 7th Bundesliga | MAG | 394 result | confidence 0.461,5: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.452
184,2nd Bundesliga League 3,Nov 6-7,2021-11-06,2021-11-07,,,,1: ID 535 | 2nd Bundesliga | MAG and WAG | 1243 result | confidence 0.747,2: ID 669 | 2nd Spanish League | WAG | 582 result | confidence 0.552,3: ID 534 | 3rd Bundesliga | MAG and WAG | 944 result | confidence 0.492,4: ID 571 | Bundesliga Finals | MAG and WAG | 171 result | confidence 0.460,5: ID 536 | 1st Bundesliga | MAG and WAG | 1245 result | confidence 0.456
191,7th Bundesliga League 2 (MAG),Nov 13,2021-11-13,2021-11-13,,,,1: ID 538 | 7th Bundesliga | MAG | 394 result | confidence 0.653,2: ID 533 | 5th Bundesliga | MAG | 401 result | confidence 0.461,3: ID 531 | 4th Bundesliga | MAG | 398 result | confidence 0.461,4: ID 537 | 6th Bundesliga | MAG | 394 result | confidence 0.461,5: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.452
195,3rd Bundesliga League 3,Nov 20,2021-11-20,2021-11-20,,,,1: ID 534 | 3rd Bundesliga | MAG and WAG | 944 result | confidence 0.747,2: ID 648 | 3rd Spanish League | WAG | 583 result | confidence 0.552,3: ID 535 | 2nd Bundesliga | MAG and WAG | 1243 result | confidence 0.492,4: ID 571 | Bundesliga Finals | MAG and WAG | 171 result | confidence 0.460,5: ID 536 | 1st Bundesliga | MAG and WAG | 1245 result | confidence 0.456
196,Bundesliga Semifinal and Relegation Match,Nov 20,2021-11-20,2021-11-20,,,,1: ID 624 | Bundesliga Final Relegation Match | MAG | 48 result | confidence 0.755,2: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.726,3: ID 610 | Bundesliga Semifinal | MAG | 97 result | confidence 0.646,4: ID 532 | Bundesliga Promotion Match | MAG | 146 result | confidence 0.544,5: ID 634 | Bundesliga Promotion Sudden Death Match | MAG | 4 result | confidence 0.445
200,Swedish Men's Cup,Nov 26-28,2021-11-26,2021-11-28,,,,1: ID 544 | Swedish Cup | MAG and WAG | 236 result | confidence 0.744,2: ID 681 | Swiss Cup | WAG | 25 result | confidence 0.537,3: ID 526 | Swedish Championships | MAG and WAG | 719 result | confidence 0.498,4: ID 650 | Polish Senior Cup | WAG | 55 result | confidence 0.452,5: ID 595 | Polish Junior Cup | MAG and WAG | 177 result | confidence 0.414
201,Bundesliga Relegation and Promotion Match,Nov 27,2021-11-27,2021-11-27,,,,1: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.726,2: ID 532 | Bundesliga Promotion Match | MAG | 146 result | confidence 0.714,3: ID 624 | Bundesliga Final Relegation Match | MAG | 48 result | confidence 0.649,4: ID 634 | Bundesliga Promotion Sudden Death Match | MAG | 4 result | confidence 0.573,
